FOM,ticket_id,account_id,contract_id,ticket_creation_date,ticket_close_date,response_time,resolution_time,priority,ticket_subject,status,num_previous_tickets_same_subject
2021-09-01,ticket_9897,account_1,contract_1_2_1,2021-08-28,2021-09-08,4,11,Low,issue_4,In Progress,0
2021-11-01,ticket_9897,account_1,contract_1_2_1,2021-08-28,2021-09-08,4,11,Low,issue_4,Pending,1
2021-07-01,ticket_8077,account_10,contract_1_2_10,2021-06-23,,2,47,High,issue_1,Resolved,0
2021-10-01,ticket_8402,account_10,contract_1_2_10,2021-09-26,,19,82,Low,issue_1,Pending,1
2021-12-01,ticket_8402,account_10,contract_1_2_10,2021-09-26,2021-12-17,19,82,Low,issue_1,Open,2
2021-12-01,ticket_3507,account_10,contract_1_2_10,2021-11-05,2021-12-10,8,35,Low,issue_1,Pending,3
2021-08-01,ticket_8077,account_10,contract_1_2_10,2021-06-23,2021-08-09,2,47,High,issue_2,Pending,0
2021-09-01,ticket_8077,account_10,contract_1_2_10,2021-06-23,2021-08-09,2,47,High,issue_2,Resolved,1
2021-10-01,ticket_8077,account_10,contract_1_2_10,2021-06-23,2021-08-09,2,47,High,issue_2,Pending,2
2021-11-01,ticket_8402,account_10,contract_1_2_10,2021-09-26,,19,82,Low,issue_2,Open,3
2021-11-01,ticket_8077,account_10,contract_1_2_10,2021-06-23,2021-08-09,2,47,High,issue_3,In Progress,0
2021-12-01,ticket_8077,account_10,contract_1_2_10,2021-06-23,2021-08-09,2,47,High,issue_3,Resolved,1
2022-05-01,ticket_6372,account_10,contract_1_3_6,2022-04-20,2022-05-18,15,28,Low,issue_1,In Progress,0
2022-08-01,ticket_6372,account_10,contract_1_3_6,2022-04-20,2022-05-18,15,28,Low,issue_1,Resolved,1
2022-10-01,ticket_6372,account_10,contract_1_3_6,2022-04-20,2022-05-18,15,28,Low,issue_1,Resolved,2
2022-06-01,ticket_6372,account_10,contract_1_3_6,2022-04-20,2022-05-18,15,28,Low,issue_2,Pending,0
2022-07-01,ticket_6372,account_10,contract_1_3_6,2022-04-20,2022-05-18,15,28,Low,issue_2,Resolved,1
2022-12-01,ticket_6372,account_10,contract_1_3_6,2022-04-20,2022-05-18,15,28,Low,issue_3,Pending,0
2022-09-01,ticket_6372,account_10,contract_1_3_6,2022-04-20,2022-05-18,15,28,Low,issue_4,In Progress,0
2022-11-01,ticket_6372,account_10,contract_1_3_6,2022-04-20,2022-05-18,15,28,Low,issue_4,In Progress,1
2023-09-01,ticket_7849,account_10,contract_1_4_3,2023-03-17,2023-03-23,1,6,Critical,issue_1,Closed,0
2023-05-01,ticket_7849,account_10,contract_1_4_3,2023-03-17,2023-03-23,1,6,Critical,issue_2,Pending,0
2023-11-01,ticket_7849,account_10,contract_1_4_3,2023-03-17,2023-03-23,1,6,Critical,issue_2,In Progress,1
2023-04-01,ticket_7849,account_10,contract_1_4_3,2023-03-17,2023-03-23,1,6,Critical,issue_3,Closed,0
2023-12-01,ticket_1705,account_10,contract_1_4_3,2023-11-29,2023-12-17,4,18,High,issue_3,Open,1
2023-06-01,ticket_7849,account_10,contract_1_4_3,2023-03-17,2023-03-23,1,6,Critical,issue_4,In Progress,0
2023-07-01,ticket_7849,account_10,contract_1_4_3,2023-03-17,2023-03-23,1,6,Critical,issue_4,Open,1
2023-08-01,ticket_7849,account_10,contract_1_4_3,2023-03-17,2023-03-23,1,6,Critical,issue_4,In Progress,2
2023-10-01,ticket_7849,account_10,contract_1_4_3,2023-03-17,2023-03-23,1,6,Critical,issue_4,Open,3
2023-12-01,ticket_7849,account_10,contract_1_4_3,2023-03-17,2023-03-23,1,6,Critical,issue_4,In Progress,4
2021-07-01,ticket_8395,account_100,contract_11_1_1,2021-01-10,2021-02-19,1,40,Critical,issue_1,Open,0
2021-06-01,ticket_5245,account_100,contract_11_1_1,2021-02-13,2021-03-12,1,27,Critical,issue_1,Closed,1
2021-09-01,ticket_5245,account_100,contract_11_1_1,2021-02-13,2021-03-12,1,27,Critical,issue_1,Pending,2
2021-06-01,ticket_8395,account_100,contract_11_1_1,2021-01-10,2021-02-19,1,40,Critical,issue_2,Pending,0
2021-05-01,ticket_5245,account_100,contract_11_1_1,2021-02-13,2021-03-12,1,27,Critical,issue_2,Resolved,1
2021-07-01,ticket_1367,account_100,contract_11_1_1,2021-06-08,,1,78,High,issue_2,Resolved,2
2021-09-01,ticket_1367,account_100,contract_11_1_1,2021-06-08,2021-08-25,1,78,High,issue_2,Resolved,3
2021-02-01,ticket_8395,account_100,contract_11_1_1,2021-01-10,2021-02-19,1,40,Critical,issue_3,Closed,0
2021-04-01,ticket_8395,account_100,contract_11_1_1,2021-01-10,2021-02-19,1,40,Critical,issue_3,Open,1
2021-10-01,ticket_8395,account_100,contract_11_1_1,2021-01-10,2021-02-19,1,40,Critical,issue_3,Pending,2
2021-03-01,ticket_5245,account_100,contract_11_1_1,2021-02-13,2021-03-12,1,27,Critical,issue_3,Pending,3
2021-04-01,ticket_5245,account_100,contract_11_1_1,2021-02-13,2021-03-12,1,27,Critical,issue_3,In Progress,4
2021-08-01,ticket_1367,account_100,contract_11_1_1,2021-06-08,2021-08-25,1,78,High,issue_3,In Progress,5
2021-10-01,ticket_1367,account_100,contract_11_1_1,2021-06-08,2021-08-25,1,78,High,issue_3,Resolved,6
2021-10-01,ticket_6741,account_100,contract_11_1_1,2021-09-25,2021-10-14,2,19,High,issue_3,Pending,7
2021-03-01,ticket_8395,account_100,contract_11_1_1,2021-01-10,2021-02-19,1,40,Critical,issue_4,Resolved,0
2021-05-01,ticket_8395,account_100,contract_11_1_1,2021-01-10,2021-02-19,1,40,Critical,issue_4,Closed,1
2021-08-01,ticket_8395,account_100,contract_11_1_1,2021-01-10,2021-02-19,1,40,Critical,issue_4,Resolved,2
2021-09-01,ticket_8395,account_100,contract_11_1_1,2021-01-10,2021-02-19,1,40,Critical,issue_4,In Progress,3
2021-07-01,ticket_5245,account_100,contract_11_1_1,2021-02-13,2021-03-12,1,27,Critical,issue_4,In Progress,4
2021-08-01,ticket_5245,account_100,contract_11_1_1,2021-02-13,2021-03-12,1,27,Critical,issue_4,In Progress,5
2021-10-01,ticket_5245,account_100,contract_11_1_1,2021-02-13,2021-03-12,1,27,Critical,issue_4,Pending,6
2021-03-01,ticket_3281,account_101,contract_11_1_2,2021-02-18,2021-03-04,13,14,Low,issue_1,Open,0
2021-10-01,ticket_3281,account_101,contract_11_1_2,2021-02-18,2021-03-04,13,14,Low,issue_1,Pending,1
2021-05-01,ticket_3379,account_101,contract_11_1_2,2021-03-25,,1,80,High,issue_1,In Progress,2
2021-06-01,ticket_3379,account_101,contract_11_1_2,2021-03-25,2021-06-13,1,80,High,issue_2,In Progress,0
2021-08-01,ticket_3379,account_101,contract_11_1_2,2021-03-25,2021-06-13,1,80,High,issue_2,In Progress,1
2021-10-01,ticket_3379,account_101,contract_11_1_2,2021-03-25,2021-06-13,1,80,High,issue_2,Pending,2
2021-09-01,ticket_3281,account_101,contract_11_1_2,2021-02-18,2021-03-04,13,14,Low,issue_3,Open,0
2021-04-01,ticket_3379,account_101,contract_11_1_2,2021-03-25,,1,80,High,issue_3,Open,1
2021-07-01,ticket_3379,account_101,contract_11_1_2,2021-03-25,2021-06-13,1,80,High,issue_3,Resolved,2
2021-09-01,ticket_3379,account_101,contract_11_1_2,2021-03-25,2021-06-13,1,80,High,issue_3,Pending,3
2021-04-01,ticket_3281,account_101,contract_11_1_2,2021-02-18,2021-03-04,13,14,Low,issue_4,Pending,0
2021-05-01,ticket_3281,account_101,contract_11_1_2,2021-02-18,2021-03-04,13,14,Low,issue_4,In Progress,1
2021-06-01,ticket_3281,account_101,contract_11_1_2,2021-02-18,2021-03-04,13,14,Low,issue_4,In Progress,2
2021-07-01,ticket_3281,account_101,contract_11_1_2,2021-02-18,2021-03-04,13,14,Low,issue_4,Open,3
2021-08-01,ticket_3281,account_101,contract_11_1_2,2021-02-18,2021-03-04,13,14,Low,issue_4,Pending,4
2021-09-01,ticket_9824,account_102,contract_11_1_3,2021-08-23,2021-09-13,8,21,Medium,issue_3,Resolved,0
2021-10-01,ticket_9824,account_102,contract_11_1_3,2021-08-23,2021-09-13,8,21,Medium,issue_4,Resolved,0
2020-12-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_1,In Progress,0
2021-10-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_1,Closed,1
2021-03-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_2,Open,0
2021-06-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_2,Pending,1
2021-08-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_2,In Progress,2
2021-09-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_2,Open,3
2021-04-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_3,In Progress,0
2021-05-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_3,Resolved,1
2021-07-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_3,In Progress,2
2021-01-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_4,Open,0
2021-02-01,ticket_8889,account_103,contract_11_1_4,2020-11-26,2020-11-29,2,3,Low,issue_4,Resolved,1
2021-09-01,ticket_9056,account_104,contract_11_1_5,2021-07-10,2021-09-23,3,75,High,issue_2,In Progress,0
2021-08-01,ticket_9056,account_104,contract_11_1_5,2021-07-10,,3,75,High,issue_3,In Progress,0
2021-10-01,ticket_9056,account_104,contract_11_1_5,2021-07-10,2021-09-23,3,75,High,issue_4,Closed,0
2022-08-01,ticket_9935,account_104,contract_11_2_3,2021-12-17,2021-12-23,5,6,Low,issue_1,Open,0
2022-01-01,ticket_9935,account_104,contract_11_2_3,2021-12-17,2021-12-23,5,6,Low,issue_2,Resolved,0
2022-02-01,ticket_9935,account_104,contract_11_2_3,2021-12-17,2021-12-23,5,6,Low,issue_2,Open,1
2022-03-01,ticket_9935,account_104,contract_11_2_3,2021-12-17,2021-12-23,5,6,Low,issue_2,Open,2
2022-04-01,ticket_9935,account_104,contract_11_2_3,2021-12-17,2021-12-23,5,6,Low,issue_2,Closed,3
2022-07-01,ticket_9935,account_104,contract_11_2_3,2021-12-17,2021-12-23,5,6,Low,issue_2,In Progress,4
2022-10-01,ticket_9935,account_104,contract_11_2_3,2021-12-17,2021-12-23,5,6,Low,issue_2,Open,5
2022-06-01,ticket_9935,account_104,contract_11_2_3,2021-12-17,2021-12-23,5,6,Low,issue_3,Closed,0
2022-09-01,ticket_9935,account_104,contract_11_2_3,2021-12-17,2021-12-23,5,6,Low,issue_3,In Progress,1
2022-05-01,ticket_9935,account_104,contract_11_2_3,2021-12-17,2021-12-23,5,6,Low,issue_4,In Progress,0
2021-09-01,ticket_4787,account_105,contract_11_1_6,2021-08-12,2021-09-27,1,46,Critical,issue_3,In Progress,0
2021-10-01,ticket_4787,account_105,contract_11_1_6,2021-08-12,2021-09-27,1,46,Critical,issue_4,Open,0
2022-04-01,ticket_1928,account_105,contract_11_2_4,2022-02-13,2022-03-04,8,19,Medium,issue_1,In Progress,0
2022-09-01,ticket_1928,account_105,contract_11_2_4,2022-02-13,2022-03-04,8,19,Medium,issue_1,Open,1
2022-05-01,ticket_1928,account_105,contract_11_2_4,2022-02-13,2022-03-04,8,19,Medium,issue_2,Pending,0
2022-06-01,ticket_1928,account_105,contract_11_2_4,2022-02-13,2022-03-04,8,19,Medium,issue_2,Open,1
2022-08-01,ticket_1928,account_105,contract_11_2_4,2022-02-13,2022-03-04,8,19,Medium,issue_2,Closed,2
2022-03-01,ticket_1928,account_105,contract_11_2_4,2022-02-13,2022-03-04,8,19,Medium,issue_3,Resolved,0
2022-07-01,ticket_1928,account_105,contract_11_2_4,2022-02-13,2022-03-04,8,19,Medium,issue_3,In Progress,1
2022-10-01,ticket_1928,account_105,contract_11_2_4,2022-02-13,2022-03-04,8,19,Medium,issue_4,In Progress,0
2023-09-01,ticket_4333,account_105,contract_11_3_1,2023-03-24,2023-04-02,7,9,Medium,issue_1,In Progress,0
2023-04-01,ticket_4333,account_105,contract_11_3_1,2023-03-24,2023-04-02,7,9,Medium,issue_3,In Progress,0
2023-05-01,ticket_4333,account_105,contract_11_3_1,2023-03-24,2023-04-02,7,9,Medium,issue_3,Closed,1
2023-06-01,ticket_4333,account_105,contract_11_3_1,2023-03-24,2023-04-02,7,9,Medium,issue_3,In Progress,2
2023-07-01,ticket_4333,account_105,contract_11_3_1,2023-03-24,2023-04-02,7,9,Medium,issue_3,In Progress,3
2023-10-01,ticket_4333,account_105,contract_11_3_1,2023-03-24,2023-04-02,7,9,Medium,issue_3,Resolved,4
2023-08-01,ticket_4333,account_105,contract_11_3_1,2023-03-24,2023-04-02,7,9,Medium,issue_4,In Progress,0
2021-07-01,ticket_4245,account_106,contract_11_1_7,2021-06-25,2021-06-29,3,4,Medium,issue_1,Resolved,0
2021-08-01,ticket_4245,account_106,contract_11_1_7,2021-06-25,2021-06-29,3,4,Medium,issue_3,Resolved,0
2021-09-01,ticket_4245,account_106,contract_11_1_7,2021-06-25,2021-06-29,3,4,Medium,issue_3,Closed,1
2021-10-01,ticket_4245,account_106,contract_11_1_7,2021-06-25,2021-06-29,3,4,Medium,issue_4,Resolved,0
2023-04-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,2023-01-09,5,53,Medium,issue_1,Resolved,0
2023-01-01,ticket_1558,account_106,contract_11_3_2,2022-12-28,,3,46,High,issue_1,Resolved,1
2023-02-01,ticket_1558,account_106,contract_11_3_2,2022-12-28,2023-02-12,3,46,High,issue_1,Pending,2
2023-03-01,ticket_1558,account_106,contract_11_3_2,2022-12-28,2023-02-12,3,46,High,issue_1,Resolved,3
2023-06-01,ticket_1558,account_106,contract_11_3_2,2022-12-28,2023-02-12,3,46,High,issue_1,Open,4
2023-08-01,ticket_1558,account_106,contract_11_3_2,2022-12-28,2023-02-12,3,46,High,issue_1,Pending,5
2023-01-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,2023-01-09,5,53,Medium,issue_2,Resolved,0
2023-03-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,2023-01-09,5,53,Medium,issue_2,Resolved,1
2023-09-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,2023-01-09,5,53,Medium,issue_2,Resolved,2
2023-07-01,ticket_1558,account_106,contract_11_3_2,2022-12-28,2023-02-12,3,46,High,issue_2,Resolved,3
2023-10-01,ticket_1558,account_106,contract_11_3_2,2022-12-28,2023-02-12,3,46,High,issue_2,In Progress,4
2022-12-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,,5,53,Medium,issue_3,In Progress,0
2023-05-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,2023-01-09,5,53,Medium,issue_3,Open,1
2023-06-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,2023-01-09,5,53,Medium,issue_3,Closed,2
2023-07-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,2023-01-09,5,53,Medium,issue_3,Resolved,3
2023-10-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,2023-01-09,5,53,Medium,issue_3,In Progress,4
2023-04-01,ticket_1558,account_106,contract_11_3_2,2022-12-28,2023-02-12,3,46,High,issue_3,Open,5
2023-05-01,ticket_1558,account_106,contract_11_3_2,2022-12-28,2023-02-12,3,46,High,issue_3,Open,6
2023-02-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,2023-01-09,5,53,Medium,issue_4,In Progress,0
2023-08-01,ticket_5801,account_106,contract_11_3_2,2022-11-17,2023-01-09,5,53,Medium,issue_4,In Progress,1
2023-09-01,ticket_1558,account_106,contract_11_3_2,2022-12-28,2023-02-12,3,46,High,issue_4,Resolved,2
2022-07-01,ticket_9802,account_107,contract_11_2_6,2022-06-18,,5,49,Low,issue_1,In Progress,0
2022-10-01,ticket_9802,account_107,contract_11_2_6,2022-06-18,2022-08-06,5,49,Low,issue_1,Resolved,1
2022-09-01,ticket_9802,account_107,contract_11_2_6,2022-06-18,2022-08-06,5,49,Low,issue_2,Closed,0
2022-08-01,ticket_9802,account_107,contract_11_2_6,2022-06-18,2022-08-06,5,49,Low,issue_4,In Progress,0
2023-03-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,2023-02-24,1,87,High,issue_1,In Progress,0
2023-07-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,2023-02-24,1,87,High,issue_1,Pending,1
2022-12-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,,1,87,High,issue_2,Closed,0
2023-01-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,,1,87,High,issue_2,Open,1
2023-02-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,2023-02-24,1,87,High,issue_2,Open,2
2023-09-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,2023-02-24,1,87,High,issue_3,Closed,0
2023-10-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,2023-02-24,1,87,High,issue_3,Pending,1
2023-04-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,2023-02-24,1,87,High,issue_4,Resolved,0
2023-05-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,2023-02-24,1,87,High,issue_4,In Progress,1
2023-06-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,2023-02-24,1,87,High,issue_4,In Progress,2
2023-08-01,ticket_9487,account_107,contract_11_3_3,2022-11-29,2023-02-24,1,87,High,issue_4,Open,3
2021-02-01,ticket_2354,account_108,contract_11_1_9,2020-12-24,2021-02-03,3,41,Medium,issue_1,Pending,0
2021-05-01,ticket_2354,account_108,contract_11_1_9,2020-12-24,2021-02-03,3,41,Medium,issue_1,In Progress,1
2021-07-01,ticket_2354,account_108,contract_11_1_9,2020-12-24,2021-02-03,3,41,Medium,issue_1,In Progress,2
2021-08-01,ticket_2354,account_108,contract_11_1_9,2020-12-24,2021-02-03,3,41,Medium,issue_1,Resolved,3
2021-09-01,ticket_2354,account_108,contract_11_1_9,2020-12-24,2021-02-03,3,41,Medium,issue_1,In Progress,4
2021-01-01,ticket_2354,account_108,contract_11_1_9,2020-12-24,,3,41,Medium,issue_4,Resolved,0
2021-03-01,ticket_2354,account_108,contract_11_1_9,2020-12-24,2021-02-03,3,41,Medium,issue_4,In Progress,1
2021-04-01,ticket_2354,account_108,contract_11_1_9,2020-12-24,2021-02-03,3,41,Medium,issue_4,Open,2
2021-06-01,ticket_2354,account_108,contract_11_1_9,2020-12-24,2021-02-03,3,41,Medium,issue_4,In Progress,3
2021-10-01,ticket_2354,account_108,contract_11_1_9,2020-12-24,2021-02-03,3,41,Medium,issue_4,Resolved,4
2022-06-01,ticket_6023,account_108,contract_11_2_7,2022-02-17,2022-04-24,1,66,Critical,issue_1,In Progress,0
2022-08-01,ticket_6023,account_108,contract_11_2_7,2022-02-17,2022-04-24,1,66,Critical,issue_1,In Progress,1
2022-08-01,ticket_6090,account_108,contract_11_2_7,2022-04-10,2022-06-21,2,72,High,issue_1,In Progress,2
2022-03-01,ticket_6023,account_108,contract_11_2_7,2022-02-17,,1,66,Critical,issue_2,In Progress,0
2022-04-01,ticket_6023,account_108,contract_11_2_7,2022-02-17,2022-04-24,1,66,Critical,issue_2,Closed,1
2022-05-01,ticket_6023,account_108,contract_11_2_7,2022-02-17,2022-04-24,1,66,Critical,issue_2,In Progress,2
2022-10-01,ticket_6090,account_108,contract_11_2_7,2022-04-10,2022-06-21,2,72,High,issue_2,Closed,3
2022-07-01,ticket_6023,account_108,contract_11_2_7,2022-02-17,2022-04-24,1,66,Critical,issue_3,Pending,0
2022-09-01,ticket_6090,account_108,contract_11_2_7,2022-04-10,2022-06-21,2,72,High,issue_3,Resolved,1
2022-09-01,ticket_6023,account_108,contract_11_2_7,2022-02-17,2022-04-24,1,66,Critical,issue_4,Open,0
2022-10-01,ticket_6023,account_108,contract_11_2_7,2022-02-17,2022-04-24,1,66,Critical,issue_4,Resolved,1
2022-05-01,ticket_6090,account_108,contract_11_2_7,2022-04-10,,2,72,High,issue_4,Pending,2
2022-06-01,ticket_6090,account_108,contract_11_2_7,2022-04-10,2022-06-21,2,72,High,issue_4,In Progress,3
2022-07-01,ticket_6090,account_108,contract_11_2_7,2022-04-10,2022-06-21,2,72,High,issue_4,Open,4
2023-03-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_1,Closed,0
2023-06-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_1,Open,1
2023-10-01,ticket_3117,account_108,contract_11_3_4,2023-06-03,2023-06-12,6,9,Low,issue_1,In Progress,2
2023-04-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_2,In Progress,0
2023-08-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_2,Pending,1
2023-10-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_2,In Progress,2
2022-12-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_3,Resolved,0
2023-05-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_3,Resolved,1
2023-07-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_3,Resolved,2
2023-07-01,ticket_3117,account_108,contract_11_3_4,2023-06-03,2023-06-12,6,9,Low,issue_3,Open,3
2023-09-01,ticket_3117,account_108,contract_11_3_4,2023-06-03,2023-06-12,6,9,Low,issue_3,In Progress,4
2023-01-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_4,Closed,0
2023-02-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_4,Resolved,1
2023-09-01,ticket_4180,account_108,contract_11_3_4,2022-11-11,2022-11-12,1,1,Medium,issue_4,In Progress,2
2023-08-01,ticket_3117,account_108,contract_11_3_4,2023-06-03,2023-06-12,6,9,Low,issue_4,In Progress,3
2021-06-01,ticket_6553,account_109,contract_11_1_10,2021-02-26,2021-04-23,3,56,Low,issue_1,In Progress,0
2021-07-01,ticket_6553,account_109,contract_11_1_10,2021-02-26,2021-04-23,3,56,Low,issue_1,Resolved,1
2021-09-01,ticket_6553,account_109,contract_11_1_10,2021-02-26,2021-04-23,3,56,Low,issue_1,Closed,2
2021-09-01,ticket_1740,account_109,contract_11_1_10,2021-07-19,,1,85,Critical,issue_2,Open,0
2021-04-01,ticket_6553,account_109,contract_11_1_10,2021-02-26,2021-04-23,3,56,Low,issue_3,In Progress,0
2021-05-01,ticket_6553,account_109,contract_11_1_10,2021-02-26,2021-04-23,3,56,Low,issue_3,Pending,1
2021-08-01,ticket_6553,account_109,contract_11_1_10,2021-02-26,2021-04-23,3,56,Low,issue_3,Closed,2
2021-08-01,ticket_1740,account_109,contract_11_1_10,2021-07-19,,1,85,Critical,issue_3,Open,3
2021-03-01,ticket_6553,account_109,contract_11_1_10,2021-02-26,,3,56,Low,issue_4,Open,0
2021-10-01,ticket_6553,account_109,contract_11_1_10,2021-02-26,2021-04-23,3,56,Low,issue_4,Closed,1
2021-10-01,ticket_1740,account_109,contract_11_1_10,2021-07-19,2021-10-12,1,85,Critical,issue_4,Resolved,2
2023-04-01,ticket_8930,account_109,contract_11_3_5,2023-02-16,2023-04-07,1,50,High,issue_1,Closed,0
2023-05-01,ticket_8930,account_109,contract_11_3_5,2023-02-16,2023-04-07,1,50,High,issue_1,Open,1
2023-08-01,ticket_8930,account_109,contract_11_3_5,2023-02-16,2023-04-07,1,50,High,issue_1,In Progress,2
2023-09-01,ticket_8930,account_109,contract_11_3_5,2023-02-16,2023-04-07,1,50,High,issue_1,Open,3
2023-06-01,ticket_8930,account_109,contract_11_3_5,2023-02-16,2023-04-07,1,50,High,issue_3,Closed,0
2023-07-01,ticket_8930,account_109,contract_11_3_5,2023-02-16,2023-04-07,1,50,High,issue_3,Pending,1
2023-10-01,ticket_8930,account_109,contract_11_3_5,2023-02-16,2023-04-07,1,50,High,issue_3,In Progress,2
2023-03-01,ticket_8930,account_109,contract_11_3_5,2023-02-16,,1,50,High,issue_4,Open,0
2020-11-01,ticket_6815,account_11,contract_2_1_1,2020-05-13,2020-07-23,2,71,Medium,issue_1,Open,0
2020-12-01,ticket_6815,account_11,contract_2_1_1,2020-05-13,2020-07-23,2,71,Medium,issue_1,Pending,1
2020-06-01,ticket_6815,account_11,contract_2_1_1,2020-05-13,,2,71,Medium,issue_2,Resolved,0
2020-08-01,ticket_6815,account_11,contract_2_1_1,2020-05-13,2020-07-23,2,71,Medium,issue_2,Pending,1
2020-12-01,ticket_1897,account_11,contract_2_1_1,2020-08-20,2020-09-10,3,21,High,issue_2,In Progress,2
2021-01-01,ticket_1897,account_11,contract_2_1_1,2020-08-20,2020-09-10,3,21,High,issue_2,Pending,3
2020-10-01,ticket_6815,account_11,contract_2_1_1,2020-05-13,2020-07-23,2,71,Medium,issue_3,Open,0
