FOM,contract_id,MOC,POC,usage_score,support_score,activity_score,score_y_c,ischr,score_final,score_final_b,support_score_label,usage_score_label,activity_score_label,account_id,number_contract,industry,business_size,annual_revenue,has_product_1,has_product_2,has_product_3,has_product_4,has_product_5,contract_acv,per_product,pre_contract_value_change_pct,age_at_contract,num_pre_contract,first_contract_value_change_pct,group,group_des,acv_label,clv_contract,clv_contract_with_churn,customer_lifespan_contract,final_status,stage,stage_at_moc12
11/1/2020,contract_1_1_1,11,0.916666667,-0.166666667,0.375,0.625,0.08,0,0.000790105,0,healthy,risky,healthy,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,renewal,renewal
12/1/2020,contract_1_1_1,12,1,-0.5,0.375,0.75,0.08,0,0.000136034,0,healthy,risky,healthy,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,renewal,renewal
1/1/2021,contract_1_2_1,1,0.083333333,-1,0,0,0.78,1,0.846885741,1,0,risky,0,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
2/1/2021,contract_1_2_1,2,0.166666667,-0.666666667,0,0,0.78,1,0.934437811,1,0,risky,0,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
3/1/2021,contract_1_2_1,3,0.25,-0.666666667,0,0,0.78,1,0.942976296,1,0,risky,0,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
4/1/2021,contract_1_2_1,4,0.333333333,0.333333333,0,0,0.78,1,0.929441988,1,0,healthy,0,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
5/1/2021,contract_1_2_1,5,0.416666667,0.5,0,0,0.78,1,0.920529664,1,0,healthy,0,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
6/1/2021,contract_1_2_1,6,0.5,-0.5,0,-0.125,0.78,1,0.909452498,1,0,risky,risky,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
7/1/2021,contract_1_2_1,7,0.583333333,0.166666667,0,0,0.78,1,0.916853309,1,0,healthy,0,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
8/1/2021,contract_1_2_1,8,0.666666667,0.833333333,0,0,0.78,1,0.958471179,1,0,healthy,0,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
9/1/2021,contract_1_2_1,9,0.75,0.166666667,-0.5,0,0.78,1,0.990899444,1,risky,healthy,0,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
10/1/2021,contract_1_2_1,10,0.833333333,-0.833333333,-0.5,0,0.78,1,0.990904629,1,risky,risky,normal,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
11/1/2021,contract_1_2_1,11,0.916666667,0.166666667,-0.5,0,0.78,1,0.962207973,1,risky,healthy,0,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
12/1/2021,contract_1_2_1,12,1,-0.166666667,-0.5,0,0.78,1,0.971069574,1,risky,risky,0,account_1,2,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,13,1,0,5,rnew_chr,M,58200,27568,2,risky,risky,risky
1/1/2020,contract_1_1_10,1,0.083333333,-0.333333333,0,0,0.08,0,0.182641119,0,0,risky,normal,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,adoption,renewal
2/1/2020,contract_1_1_10,2,0.166666667,-0.666666667,0,0.125,0.08,0,0.019478707,0,0,risky,healthy,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,adoption,renewal
3/1/2020,contract_1_1_10,3,0.25,0.166666667,0,0.5,0.08,0,0.000370819,0,0,healthy,healthy,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,adoption,renewal
4/1/2020,contract_1_1_10,4,0.333333333,0,0,0,0.08,0,0.214859053,0,0,normal,0,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,renewal,renewal
5/1/2020,contract_1_1_10,5,0.416666667,-0.5,0,0.625,0.08,0,0.000145514,0,0,risky,healthy,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,renewal,renewal
6/1/2020,contract_1_1_10,6,0.5,0.166666667,0,0.75,0.08,0,3.84E-05,0,0,healthy,healthy,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,expansion,renewal
7/1/2020,contract_1_1_10,7,0.583333333,-0.166666667,0,0,0.08,0,0.190672666,0,0,risky,0,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,renewal,renewal
8/1/2020,contract_1_1_10,8,0.666666667,0.166666667,0,0,0.08,0,0.198789284,0,0,healthy,0,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,renewal,renewal
9/1/2020,contract_1_1_10,9,0.75,0.166666667,0,0,0.08,0,0.222356424,0,0,healthy,0,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,renewal,renewal
10/1/2020,contract_1_1_10,10,0.833333333,-0.666666667,0,0.75,0.08,0,0.000227867,0,0,risky,healthy,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,renewal,renewal
11/1/2020,contract_1_1_10,11,0.916666667,-0.5,0,0.75,0.08,0,0.000143269,0,0,risky,healthy,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,renewal,renewal
12/1/2020,contract_1_1_10,12,1,-0.166666667,0,0,0.08,0,0.167369664,0,0,risky,0,account_10,1,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,1,0,,3,new_next_s,S,30000,27000,1,renewal,renewal,renewal
1/1/2021,contract_1_2_10,1,0.083333333,-0.666666667,0,0,0.11,0,0.155297846,0,0,risky,0,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,renewal,risky
2/1/2021,contract_1_2_10,2,0.166666667,-0.333333333,0,0,0.11,0,0.359089017,0,0,risky,0,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,renewal,risky
3/1/2021,contract_1_2_10,3,0.25,0.333333333,0,0.25,0.11,0,0.012783218,0,0,healthy,healthy,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,expansion,risky
4/1/2021,contract_1_2_10,4,0.333333333,-0.666666667,0,0,0.11,0,0.211521462,0,0,risky,0,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,renewal,risky
5/1/2021,contract_1_2_10,5,0.416666667,-0.666666667,0,0.5,0.11,0,0.000898251,0,0,risky,healthy,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,renewal,risky
6/1/2021,contract_1_2_10,6,0.5,-0.666666667,0,0.625,0.11,0,0.000146407,0,0,risky,healthy,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,renewal,risky
7/1/2021,contract_1_2_10,7,0.583333333,0,-0.375,0.625,0.11,0,4.43E-05,0,risky,normal,healthy,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,renewal,risky
8/1/2021,contract_1_2_10,8,0.666666667,-0.166666667,-0.25,0.625,0.11,0,0.001555346,0,risky,risky,healthy,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,renewal,risky
9/1/2021,contract_1_2_10,9,0.75,-0.166666667,-0.25,0.625,0.11,0,0.007460047,0,risky,risky,healthy,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,renewal,risky
10/1/2021,contract_1_2_10,10,0.833333333,-0.166666667,0.625,0,0.11,0,0.583330274,1,healthy,risky,0,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,risky,risky
11/1/2021,contract_1_2_10,11,0.916666667,0.5,0.625,0,0.11,0,0.745239794,1,healthy,healthy,0,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,risky,risky
12/1/2021,contract_1_2_10,12,1,0.166666667,0.875,0,0.11,0,0.65264225,1,healthy,healthy,0,account_10,2,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,13,1,0,7,rnew_next_s,S,30000,14211,2,renewal,risky,risky
1/1/2022,contract_1_3_6,1,0.083333333,-0.833333333,0,0.125,0.06,0,0.002841776,0,0,risky,healthy,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,renewal,renewal
2/1/2022,contract_1_3_6,2,0.166666667,-0.166666667,0,0.25,0.06,0,0.001448435,0,0,risky,healthy,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,renewal,renewal
3/1/2022,contract_1_3_6,3,0.25,-0.166666667,0,0,0.06,0,0.108452506,0,0,risky,0,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,renewal,renewal
4/1/2022,contract_1_3_6,4,0.333333333,-0.166666667,0,0.375,0.06,0,0.000214582,0,0,risky,healthy,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,renewal,renewal
5/1/2022,contract_1_3_6,5,0.416666667,-0.166666667,-0.25,0.75,0.06,0,3.01E-05,0,risky,risky,healthy,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,renewal,renewal
6/1/2022,contract_1_3_6,6,0.5,-0.166666667,-0.25,0,0.06,0,0.201809362,0,risky,risky,0,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,renewal,renewal
7/1/2022,contract_1_3_6,7,0.583333333,0.166666667,-0.125,0.75,0.06,0,0.000144888,0,risky,healthy,healthy,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,expansion,renewal
8/1/2022,contract_1_3_6,8,0.666666667,0.5,-0.125,0,0.06,0,0.191170707,0,risky,healthy,0,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,renewal,renewal
9/1/2022,contract_1_3_6,9,0.75,0.5,-0.25,0.75,0.06,0,0.000427516,0,risky,healthy,healthy,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,expansion,renewal
10/1/2022,contract_1_3_6,10,0.833333333,-0.166666667,-0.125,0.75,0.06,0,0.004305363,0,risky,risky,healthy,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,renewal,renewal
11/1/2022,contract_1_3_6,11,0.916666667,0.166666667,-0.125,0,0.06,0,0.347908437,0,risky,healthy,0,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,renewal,renewal
12/1/2022,contract_1_3_6,12,1,0,-0.25,0.875,0.06,0,0.000388561,0,risky,normal,healthy,account_10,3,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,25,2,0,7,rnew_next_s,S,30000,14211,3,renewal,renewal,renewal
1/1/2023,contract_1_4_3,1,0.083333333,-0.166666667,0,0,0.18,0,0.252000183,0,0,risky,0,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
2/1/2023,contract_1_4_3,2,0.166666667,-0.333333333,0,0.125,0.18,0,0.026965344,0,0,risky,healthy,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
3/1/2023,contract_1_4_3,3,0.25,-0.166666667,0,0.25,0.18,0,0.003053793,0,0,risky,healthy,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
4/1/2023,contract_1_4_3,4,0.333333333,0.333333333,-0.625,0.375,0.18,0,0.000229572,0,risky,healthy,healthy,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,expansion,renewal
5/1/2023,contract_1_4_3,5,0.416666667,-0.166666667,-0.625,0,0.18,0,0.137782782,0,risky,risky,0,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
6/1/2023,contract_1_4_3,6,0.5,-0.166666667,-0.625,0.875,0.18,0,8.02E-06,0,risky,risky,healthy,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
7/1/2023,contract_1_4_3,7,0.583333333,-0.166666667,-0.5,0.875,0.18,0,6.72E-06,0,risky,risky,healthy,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
8/1/2023,contract_1_4_3,8,0.666666667,-0.166666667,-0.5,0.875,0.18,0,9.47E-06,0,risky,risky,healthy,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
9/1/2023,contract_1_4_3,9,0.75,-0.5,-0.625,0.875,0.18,0,4.25E-05,0,risky,risky,healthy,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
10/1/2023,contract_1_4_3,10,0.833333333,-0.333333333,-0.5,0,0.18,0,0.103503138,0,risky,risky,0,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
11/1/2023,contract_1_4_3,11,0.916666667,-0.333333333,-0.5,0,0.18,0,0.109918393,0,risky,risky,0,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
12/1/2023,contract_1_4_3,12,1,-0.166666667,0.25,0.875,0.18,0,6.03E-05,0,healthy,risky,healthy,account_10,4,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,37,3,0,7,rnew_next_s,S,30000,14211,4,renewal,renewal,renewal
1/1/2024,contract_1_5_1,1,0.083333333,0.333333333,0,0,0.6,1,0.817327976,1,0,healthy,0,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
2/1/2024,contract_1_5_1,2,0.166666667,-0.5,0,0,0.6,1,0.773157835,1,0,risky,0,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
3/1/2024,contract_1_5_1,3,0.25,0.166666667,0,0,0.6,1,0.777586222,1,0,healthy,0,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
4/1/2024,contract_1_5_1,4,0.333333333,-0.166666667,0,0,0.6,1,0.804801106,1,0,risky,0,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
5/1/2024,contract_1_5_1,5,0.416666667,-0.166666667,0,-0.5,0.6,1,0.930499375,1,0,risky,risky,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
6/1/2024,contract_1_5_1,6,0.5,-0.333333333,0,-0.25,0.6,1,0.925971448,1,0,risky,risky,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
7/1/2024,contract_1_5_1,7,0.583333333,0.166666667,0,0,0.6,1,0.814553916,1,0,healthy,0,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
8/1/2024,contract_1_5_1,8,0.666666667,0.166666667,0,-0.125,0.6,1,0.866262972,1,0,healthy,risky,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
9/1/2024,contract_1_5_1,9,0.75,-0.166666667,0,0,0.6,1,0.8432585,1,0,risky,0,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
10/1/2024,contract_1_5_1,10,0.833333333,-0.166666667,0,0,0.6,1,0.85642314,1,0,risky,0,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
11/1/2024,contract_1_5_1,11,0.916666667,-0.333333333,0,0,0.6,1,0.904840231,1,0,risky,0,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
12/1/2024,contract_1_5_1,12,1,-0.166666667,0,0,0.6,1,0.930709243,1,0,risky,0,account_10,5,Healthcare,Small,2.67,0,0,1,0,1,30000,0.4,0,49,4,0,5,rnew_chr,S,30000,14211,5,risky,risky,risky
11/1/2020,contract_11_1_1,1,0.083333333,-0.333333333,0,0,0.04,1,0.148677886,0,0,risky,0,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,adoption,risky
12/1/2020,contract_11_1_1,2,0.166666667,-1,0,0,0.04,1,0.145105526,0,0,risky,0,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,adoption,risky
1/1/2021,contract_11_1_1,3,0.25,0.166666667,0,0,0.04,1,0.243653446,0,0,healthy,0,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,adoption,risky
2/1/2021,contract_11_1_1,4,0.333333333,0.5,-0.5,-0.125,0.04,1,0.288151771,0,risky,healthy,risky,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,renewal,risky
3/1/2021,contract_11_1_1,5,0.416666667,0.166666667,-0.125,0,0.04,1,0.268547565,0,risky,healthy,0,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,renewal,risky
4/1/2021,contract_11_1_1,6,0.5,-0.5,0,0,0.04,1,0.303479224,0,normal,risky,0,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,renewal,risky
5/1/2021,contract_11_1_1,7,0.583333333,-0.166666667,-0.125,0,0.04,1,0.467916787,0,risky,risky,0,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,renewal,risky
6/1/2021,contract_11_1_1,8,0.666666667,0.166666667,-0.125,0,0.04,1,0.386056006,0,risky,healthy,0,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,renewal,risky
7/1/2021,contract_11_1_1,9,0.75,0.666666667,0.25,0,0.04,1,0.757957637,1,healthy,healthy,0,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,risky,risky
8/1/2021,contract_11_1_1,10,0.833333333,0.5,0.25,0,0.04,1,0.769720376,1,healthy,healthy,0,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,risky,risky
9/1/2021,contract_11_1_1,11,0.916666667,-0.166666667,0.25,-0.125,0.04,1,0.979068279,1,healthy,risky,risky,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,risky,risky
10/1/2021,contract_11_1_1,12,1,-0.833333333,0.25,0,0.04,1,0.967518747,1,healthy,risky,0,account_100,1,Healthcare,Small,1.31,1,0,0,1,1,48500,0.6,0,1,0,,1,new_chr,S,48500,43650,1,risky,risky,risky
11/1/2020,contract_11_1_2,1,0.083333333,-1,0,0,0.86,1,0.671882272,1,0,risky,0,account_101,1,Retail & E-commerce,Small,4.8,1,1,0,1,1,51700,0.8,0,1,0,,1,new_chr,M,51700,46530,1,risky,adoption,risky
12/1/2020,contract_11_1_2,2,0.166666667,-0.666666667,0,0,0.86,1,0.818610668,1,0,risky,0,account_101,1,Retail & E-commerce,Small,4.8,1,1,0,1,1,51700,0.8,0,1,0,,1,new_chr,M,51700,46530,1,risky,adoption,risky
1/1/2021,contract_11_1_2,3,0.25,-0.833333333,0,0,0.86,1,0.715205491,1,0,risky,0,account_101,1,Retail & E-commerce,Small,4.8,1,1,0,1,1,51700,0.8,0,1,0,,1,new_chr,M,51700,46530,1,risky,adoption,risky
2/1/2021,contract_11_1_2,4,0.333333333,-0.5,0,0,0.86,1,0.803997934,1,0,risky,0,account_101,1,Retail & E-commerce,Small,4.8,1,1,0,1,1,51700,0.8,0,1,0,,1,new_chr,M,51700,46530,1,risky,risky,risky
3/1/2021,contract_11_1_2,5,0.416666667,0.166666667,0,0,0.86,1,0.827111125,1,normal,healthy,0,account_101,1,Retail & E-commerce,Small,4.8,1,1,0,1,1,51700,0.8,0,1,0,,1,new_chr,M,51700,46530,1,risky,risky,risky
4/1/2021,contract_11_1_2,6,0.5,0.166666667,0.625,0,0.86,1,0.971820414,1,healthy,healthy,0,account_101,1,Retail & E-commerce,Small,4.8,1,1,0,1,1,51700,0.8,0,1,0,,1,new_chr,M,51700,46530,1,risky,risky,risky
5/1/2021,contract_11_1_2,7,0.583333333,-0.5,0.625,0,0.86,1,0.98048234,1,healthy,risky,0,account_101,1,Retail & E-commerce,Small,4.8,1,1,0,1,1,51700,0.8,0,1,0,,1,new_chr,M,51700,46530,1,risky,risky,risky
