contract_id,FOM,MOC,start_of_contract,POC,contract_status,total_activities,meeting_count,email_count,postal_count,invitation_count,training_count,checkin_count,onboarding_count,renewal_pricing_count,inperson_count,demo_count,gift_count,document_count,total_duration,average_duration,attend_count,not_attend_count,cancel_count,high_priority_count,negative_sentiment_count,agg_total_activities,agg_meeting_count,agg_email_count,agg_postal_count,agg_invitation_count,agg_training_count,agg_checkin_count,agg_onboarding_count,agg_renewal_pricing_count,agg_inperson_count,agg_demo_count,agg_gift_count,agg_document_count,agg_total_duration,agg_attend_count,agg_not_attend_count,agg_cancel_count,agg_high_priority_count,agg_negative_sentiment_count,rolling_avg_average_duration,mom_total_activities,mom_total_duration,mom_attend_count,mom_not_attend_count,mom_cancel_count,mom_high_priority_count,mom_negative_sentiment_count,contract_year,ischr,activity_score,activity_score_label
contract_10_1_11,2021-02-01,5,2020-10-01,0.4166666666666667,unknown,2,2,0,0,1,0,0,0,1,0,0,0,0,210,105.0,2,0,0,0,0,4,3,0,1,1,1,0,0,1,0,1,0,0,300,3,0,0,0,0,97.5,1.0,210.0,2.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_11,2021-04-01,7,2020-10-01,0.5833333333333334,unknown,1,1,0,0,1,0,0,0,0,0,0,0,0,60,60.0,1,0,0,0,0,5,4,0,1,2,1,0,0,1,0,1,0,0,360,4,0,0,0,0,85.0,-1.0,-150.0,-1.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_11,2021-05-01,8,2020-10-01,0.6666666666666666,unknown,1,1,0,0,0,0,0,0,0,1,0,0,0,60,60.0,1,0,0,0,1,6,5,0,1,2,1,0,0,1,1,1,0,0,420,5,0,0,0,1,78.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021,0,0,normal
contract_10_1_11,2021-06-01,9,2020-10-01,0.75,unknown,2,2,0,0,1,0,0,0,0,1,0,0,0,180,90.0,2,0,0,0,1,8,7,0,1,3,1,0,0,1,2,1,0,0,600,7,0,0,0,2,81.0,1.0,120.0,1.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_11,2021-07-01,10,2020-10-01,0.8333333333333334,unknown,3,2,0,1,0,0,0,1,0,1,0,1,0,120,60.0,2,0,0,0,1,11,9,0,2,3,1,0,1,1,3,1,1,0,720,9,0,0,0,3,77.5,1.0,-60.0,0.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_11,2021-08-01,11,2020-10-01,0.9166666666666666,unknown,4,2,0,2,1,1,0,1,0,1,0,0,0,210,90.0,1,0,1,0,0,15,11,0,4,4,2,0,2,1,4,1,1,0,930,10,0,1,0,3,79.28571428571429,1.0,90.0,-1.0,0.0,1.0,0.0,-1.0,2021,0,0,normal
contract_10_1_11,2021-09-01,12,2020-10-01,1.0,unknown,2,1,1,0,0,0,0,0,0,1,0,0,1,60,60.0,1,0,0,2,0,17,12,1,4,4,2,0,2,1,5,1,1,1,990,11,0,1,2,3,76.875,-2.0,-150.0,0.0,0.0,-1.0,2.0,0.0,2021,0,0,normal
contract_10_1_2,2020-10-01,1,2020-10-01,0.08333333333333333,unknown,2,2,0,0,1,0,0,0,1,0,0,0,0,240,120.0,2,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,240,2,0,0,0,0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_2,2020-11-01,2,2020-10-01,0.16666666666666666,unknown,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,3,2,1,0,1,0,0,0,2,0,0,0,0,240,2,0,0,0,0,120.0,-1.0,-240.0,-2.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_2,2021-01-01,4,2020-10-01,0.3333333333333333,unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,60,60.0,1,0,0,1,0,4,3,1,0,1,0,0,1,2,0,0,0,0,300,3,0,0,1,0,90.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,2021,0,0,normal
contract_10_1_2,2021-02-01,5,2020-10-01,0.4166666666666667,unknown,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,0,5,3,1,1,1,0,0,1,2,0,0,1,0,300,3,0,0,2,0,90.0,0.0,-60.0,-1.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_2,2021-03-01,6,2020-10-01,0.5,unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,90,90.0,1,0,0,0,0,6,4,1,1,1,0,0,2,2,0,0,1,0,390,4,0,0,2,0,90.0,0.0,90.0,1.0,0.0,0.0,-1.0,0.0,2021,0,0,normal
contract_10_1_2,2021-04-01,7,2020-10-01,0.5833333333333334,unknown,1,1,0,0,1,0,0,0,0,0,0,0,0,30,30.0,1,0,0,1,1,7,5,1,1,2,0,0,2,2,0,0,1,0,420,5,0,0,3,1,75.0,0.0,-60.0,0.0,0.0,0.0,1.0,1.0,2021,0,0,normal
contract_10_1_2,2021-06-01,9,2020-10-01,0.75,unknown,2,2,0,0,0,0,0,1,1,0,0,0,0,210,120.0,1,1,0,0,1,9,7,1,1,2,0,0,3,3,0,0,1,0,630,6,1,0,3,2,84.0,1.0,180.0,0.0,1.0,0.0,-1.0,0.0,2021,0,0,normal
contract_10_1_2,2021-08-01,11,2020-10-01,0.9166666666666666,unknown,2,2,0,0,0,1,0,0,0,0,1,0,0,210,120.0,1,1,0,0,1,11,9,1,1,2,1,0,3,3,0,1,1,0,840,7,2,0,3,3,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_3,2020-10-01,1,2020-10-01,0.08333333333333333,unknown,2,0,1,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_3,2020-11-01,2,2020-10-01,0.16666666666666666,unknown,2,1,1,0,0,1,1,0,0,0,0,0,0,60,60.0,1,0,0,2,0,4,1,2,1,1,1,2,0,0,0,0,0,0,60,1,0,0,3,0,60.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,2020,0,0,normal
contract_10_1_3,2020-12-01,3,2020-10-01,0.25,unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,30,30.0,1,0,0,0,0,5,2,2,1,1,1,2,1,0,0,0,0,0,90,2,0,0,3,0,45.0,-1.0,-30.0,0.0,0.0,0.0,-2.0,0.0,2020,0,0,normal
contract_10_1_3,2021-01-01,4,2020-10-01,0.3333333333333333,unknown,3,2,1,0,0,0,0,3,0,0,0,0,0,120,60.0,2,0,0,1,0,8,4,3,1,1,1,2,4,0,0,0,0,0,210,4,0,0,4,0,50.0,2.0,90.0,1.0,0.0,0.0,1.0,0.0,2021,0,0,normal
contract_10_1_3,2021-02-01,5,2020-10-01,0.4166666666666667,unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,60,60.0,1,0,0,1,1,9,5,3,1,1,1,2,5,0,0,0,0,0,270,5,0,0,5,1,52.5,-2.0,-60.0,-1.0,0.0,0.0,0.0,1.0,2021,0,0,normal
contract_10_1_3,2021-03-01,6,2020-10-01,0.5,unknown,1,1,0,0,0,0,0,0,0,1,0,0,0,30,,0,0,1,1,0,10,6,3,1,1,1,2,5,0,1,0,0,0,300,5,0,1,6,1,52.5,0.0,-30.0,-1.0,0.0,1.0,0.0,-1.0,2021,0,0,normal
contract_10_1_3,2021-05-01,8,2020-10-01,0.6666666666666666,unknown,1,1,0,0,0,0,0,0,0,0,1,0,0,60,60.0,1,0,0,0,1,11,7,3,1,1,1,2,5,0,1,1,0,0,360,6,0,1,6,2,54.0,0.0,30.0,1.0,0.0,-1.0,-1.0,1.0,2021,0,0,normal
contract_10_1_3,2021-07-01,10,2020-10-01,0.8333333333333334,unknown,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,12,7,4,1,2,1,2,5,0,1,1,0,0,360,6,0,1,6,2,54.0,0.0,-60.0,-1.0,0.0,0.0,0.0,-1.0,2021,0,0,normal
contract_10_1_3,2021-09-01,12,2020-10-01,1.0,unknown,3,3,0,0,1,0,2,0,0,0,0,0,0,330,105.0,2,1,0,1,0,15,10,4,1,3,1,4,5,0,1,1,0,0,690,8,1,1,7,2,62.5,2.0,330.0,2.0,1.0,0.0,1.0,0.0,2021,0,0,normal
contract_10_1_4,2020-12-01,3,2020-10-01,0.25,unknown,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_4,2021-03-01,6,2020-10-01,0.5,unknown,1,1,0,0,1,0,0,0,0,0,0,0,0,60,60.0,1,0,0,1,0,2,1,1,0,2,0,0,0,0,0,0,0,0,60,1,0,0,1,0,60.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,2021,0,0,normal
contract_10_1_4,2021-05-01,8,2020-10-01,0.6666666666666666,unknown,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,3,1,1,1,2,0,0,0,0,0,0,1,0,60,1,0,0,1,0,60.0,0.0,-60.0,-1.0,0.0,0.0,-1.0,0.0,2021,0,0,normal
contract_10_1_4,2021-09-01,12,2020-10-01,1.0,unknown,2,2,0,0,0,0,1,0,0,0,1,0,0,60,30.0,1,0,1,1,0,5,3,1,1,2,0,1,0,0,0,1,1,0,120,2,0,1,2,0,45.0,1.0,60.0,1.0,0.0,1.0,1.0,0.0,2021,0,0,normal
contract_10_1_5,2020-12-01,3,2020-10-01,0.25,unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,90,90.0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,90,1,0,0,1,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_5,2021-01-01,4,2020-10-01,0.3333333333333333,unknown,1,1,0,0,0,0,0,0,1,0,0,0,0,90,90.0,1,0,0,1,1,2,2,0,0,0,0,0,1,1,0,0,0,0,180,2,0,0,2,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021,0,0,normal
contract_10_1_5,2021-02-01,5,2020-10-01,0.4166666666666667,unknown,1,1,0,0,0,0,0,0,0,1,0,0,0,30,30.0,1,0,0,1,0,3,3,0,0,0,0,0,1,1,1,0,0,0,210,3,0,0,3,1,70.0,0.0,-60.0,0.0,0.0,0.0,0.0,-1.0,2021,0,0,normal
contract_10_1_5,2021-03-01,6,2020-10-01,0.5,unknown,1,1,0,0,1,0,0,0,0,0,0,0,0,60,60.0,1,0,0,0,0,4,4,0,0,1,0,0,1,1,1,0,0,0,270,4,0,0,3,1,67.5,0.0,30.0,0.0,0.0,0.0,-1.0,0.0,2021,0,0,normal
contract_10_1_5,2021-04-01,7,2020-10-01,0.5833333333333334,unknown,3,3,0,0,0,0,0,1,1,0,1,0,0,270,90.0,2,0,1,0,1,7,7,0,0,1,0,0,2,2,1,1,0,0,540,6,0,1,3,2,72.0,2.0,210.0,1.0,0.0,1.0,0.0,1.0,2021,0,0,normal
contract_10_1_5,2021-05-01,8,2020-10-01,0.6666666666666666,unknown,3,2,0,1,1,0,0,1,0,0,1,0,0,90,45.0,2,0,0,2,0,10,9,0,1,2,0,0,3,2,1,2,0,0,630,8,0,1,5,2,67.5,0.0,-180.0,0.0,0.0,-1.0,2.0,-1.0,2021,0,0,normal
contract_10_1_5,2021-06-01,9,2020-10-01,0.75,unknown,2,2,0,0,0,0,0,1,1,0,0,0,0,150,120.0,1,1,0,0,0,12,11,0,1,2,0,0,4,3,1,2,0,0,780,9,1,1,5,2,75.0,-1.0,60.0,-1.0,1.0,0.0,-2.0,0.0,2021,0,0,normal
contract_10_1_5,2021-07-01,10,2020-10-01,0.8333333333333334,unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,90,90.0,1,0,0,0,1,13,12,0,1,2,0,0,5,3,1,2,0,0,870,10,1,1,5,3,76.875,-1.0,-60.0,0.0,-1.0,0.0,0.0,1.0,2021,0,0,normal
contract_10_1_5,2021-08-01,11,2020-10-01,0.9166666666666666,unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,30,30.0,1,0,0,1,0,14,13,0,1,2,0,1,5,3,1,2,0,0,900,11,1,1,6,3,71.66666666666667,0.0,-60.0,0.0,0.0,0.0,1.0,-1.0,2021,0,0,normal
contract_10_1_5,2021-09-01,12,2020-10-01,1.0,unknown,3,3,0,0,0,1,0,2,0,0,0,0,0,300,105.0,2,0,1,0,1,17,16,0,1,2,1,1,7,3,1,2,0,0,1200,13,1,2,6,4,75.0,2.0,270.0,1.0,0.0,1.0,-1.0,1.0,2021,0,0,normal
contract_10_1_6,2020-10-01,1,2020-10-01,0.08333333333333333,unknown,2,1,1,0,0,2,0,0,0,0,0,0,0,90,90.0,1,0,0,1,0,2,1,1,0,0,2,0,0,0,0,0,0,0,90,1,0,0,1,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_6,2020-12-01,3,2020-10-01,0.25,unknown,2,1,0,1,0,0,0,1,0,0,0,1,0,60,60.0,1,0,0,1,0,4,2,1,1,0,2,0,1,0,0,0,1,0,150,2,0,0,2,0,75.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_6,2021-01-01,4,2020-10-01,0.3333333333333333,unknown,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,5,2,2,1,0,2,0,1,1,0,0,1,0,150,2,0,0,2,0,75.0,-1.0,-60.0,-1.0,0.0,0.0,-1.0,0.0,2021,0,0,normal
contract_10_1_6,2021-02-01,5,2020-10-01,0.4166666666666667,unknown,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,6,2,2,2,0,2,0,1,1,0,0,2,0,150,2,0,0,2,0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_6,2021-04-01,7,2020-10-01,0.5833333333333334,unknown,1,1,0,0,0,1,0,0,0,0,0,0,0,30,30.0,1,0,0,1,0,7,3,2,2,0,3,0,1,1,0,0,2,0,180,3,0,0,3,0,60.0,0.0,30.0,1.0,0.0,0.0,1.0,0.0,2021,0,0,normal
contract_10_1_6,2021-05-01,8,2020-10-01,0.6666666666666666,unknown,3,2,1,0,1,0,1,1,0,0,0,0,0,210,105.0,2,0,0,1,0,10,5,3,2,1,3,1,2,1,0,0,2,0,390,5,0,0,4,0,71.25,2.0,180.0,1.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_6,2021-06-01,9,2020-10-01,0.75,unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,30,30.0,1,0,0,0,0,11,6,3,2,1,3,2,2,1,0,0,2,0,420,6,0,0,4,0,63.0,-2.0,-180.0,-1.0,0.0,0.0,-1.0,0.0,2021,0,0,normal
contract_10_1_6,2021-07-01,10,2020-10-01,0.8333333333333334,unknown,1,1,0,0,0,0,0,0,1,0,0,0,0,60,60.0,1,0,0,1,0,12,7,3,2,1,3,2,2,2,0,0,2,0,480,7,0,0,5,0,62.5,0.0,30.0,0.0,0.0,0.0,1.0,0.0,2021,0,0,normal
contract_10_1_6,2021-08-01,11,2020-10-01,0.9166666666666666,unknown,1,1,0,0,0,0,0,0,0,1,0,0,0,90,,0,0,1,1,0,13,8,3,2,1,3,2,2,2,1,0,2,0,570,7,0,1,6,0,62.5,0.0,30.0,-1.0,0.0,1.0,0.0,0.0,2021,0,0,normal
contract_10_1_7,2020-10-01,1,2020-10-01,0.08333333333333333,unknown,2,0,1,1,0,1,0,1,0,0,0,0,0,0,,0,0,0,1,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_7,2020-12-01,3,2020-10-01,0.25,unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,60,60.0,1,0,0,1,0,3,1,1,1,0,1,1,1,0,0,0,0,0,60,1,0,0,2,0,60.0,-1.0,60.0,1.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_7,2021-02-01,5,2020-10-01,0.4166666666666667,unknown,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,4,1,1,2,1,1,1,1,0,0,0,0,0,60,1,0,0,3,0,60.0,0.0,-60.0,-1.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_7,2021-03-01,6,2020-10-01,0.5,unknown,3,1,2,0,0,1,0,0,1,1,0,0,0,30,,0,1,0,0,0,7,2,3,2,1,2,1,1,1,1,0,0,0,90,1,1,0,3,0,60.0,2.0,30.0,0.0,1.0,0.0,-1.0,0.0,2021,0,0,normal
contract_10_1_7,2021-04-01,7,2020-10-01,0.5833333333333334,unknown,4,2,1,1,1,1,1,1,0,0,0,0,0,180,90.0,2,0,0,3,1,11,4,4,3,2,3,2,2,1,1,0,0,0,270,3,1,0,6,1,75.0,1.0,150.0,2.0,-1.0,0.0,3.0,1.0,2021,0,0,normal
contract_10_1_7,2021-05-01,8,2020-10-01,0.6666666666666666,unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,90,90.0,1,0,0,0,0,12,5,4,3,2,3,2,3,1,1,0,0,0,360,4,1,0,6,1,80.0,-3.0,-90.0,-1.0,0.0,0.0,-3.0,-1.0,2021,0,0,normal
contract_10_1_7,2021-06-01,9,2020-10-01,0.75,unknown,1,1,0,0,0,0,0,0,1,0,0,0,0,120,,0,1,0,1,0,13,6,4,3,2,3,2,3,2,1,0,0,0,480,4,2,0,7,1,80.0,0.0,30.0,-1.0,1.0,0.0,1.0,0.0,2021,0,0,normal
contract_10_1_7,2021-07-01,10,2020-10-01,0.8333333333333334,unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,90,90.0,1,0,0,0,0,14,7,4,3,2,3,3,3,2,1,0,0,0,570,5,2,0,7,1,82.5,0.0,-30.0,1.0,-1.0,0.0,-1.0,0.0,2021,0,0,normal
contract_10_1_7,2021-08-01,11,2020-10-01,0.9166666666666666,unknown,2,2,0,0,0,0,1,0,1,0,0,0,0,150,75.0,2,0,0,0,0,16,9,4,3,2,3,4,3,3,1,0,0,0,720,7,2,0,7,1,81.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_8,2020-10-01,1,2020-10-01,0.08333333333333333,upsell,1,1,0,0,0,0,0,0,1,0,0,0,0,30,30.0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,30,1,0,0,0,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_8,2020-11-01,2,2020-10-01,0.16666666666666666,upsell,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,0,2,1,1,0,0,0,0,0,2,0,0,0,0,30,1,0,0,1,0,30.0,0.0,-30.0,-1.0,0.0,0.0,1.0,0.0,2020,0,0,normal
contract_10_1_8,2020-12-01,3,2020-10-01,0.25,upsell,1,1,0,0,0,0,1,0,0,0,0,0,0,60,60.0,1,0,0,0,0,3,2,1,0,0,0,1,0,2,0,0,0,0,90,2,0,0,1,0,45.0,0.0,60.0,1.0,0.0,0.0,-1.0,0.0,2020,0,0,normal
contract_10_1_8,2021-01-01,4,2020-10-01,0.3333333333333333,upsell,2,1,1,0,1,0,0,1,0,0,0,0,0,60,60.0,1,0,0,0,0,5,3,2,0,1,0,1,1,2,0,0,0,0,150,3,0,0,1,0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_8,2021-02-01,5,2020-10-01,0.4166666666666667,upsell,1,1,0,0,0,0,0,0,1,0,0,0,0,30,30.0,1,0,0,0,1,6,4,2,0,1,0,1,1,3,0,0,0,0,180,4,0,0,1,1,45.0,-1.0,-30.0,0.0,0.0,0.0,0.0,1.0,2021,0,0,normal
contract_10_1_8,2021-03-01,6,2020-10-01,0.5,upsell,1,1,0,0,0,0,0,0,0,0,1,0,0,90,90.0,1,0,0,0,0,7,5,2,0,1,0,1,1,3,0,1,0,0,270,5,0,0,1,1,54.0,0.0,60.0,0.0,0.0,0.0,0.0,-1.0,2021,0,0,normal
contract_10_1_8,2021-05-01,8,2020-10-01,0.6666666666666666,upsell,1,1,0,0,0,0,0,0,0,0,1,0,0,120,120.0,1,0,0,0,0,8,6,2,0,1,0,1,1,3,0,2,0,0,390,6,0,0,1,1,65.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_8,2021-06-01,9,2020-10-01,0.75,upsell,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,9,6,3,0,1,0,2,1,3,0,2,0,0,390,6,0,0,1,1,65.0,0.0,-120.0,-1.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_8,2021-07-01,10,2020-10-01,0.8333333333333334,upsell,1,1,0,0,0,0,0,0,1,0,0,0,0,60,60.0,1,0,0,1,0,10,7,3,0,1,0,2,1,4,0,2,0,0,450,7,0,0,2,1,64.28571428571429,0.0,60.0,1.0,0.0,0.0,1.0,0.0,2021,0,0,normal
contract_10_1_8,2021-08-01,11,2020-10-01,0.9166666666666666,upsell,1,1,0,0,0,0,0,0,0,0,1,0,0,120,,0,1,0,0,0,11,8,3,0,1,0,2,1,4,0,3,0,0,570,7,1,0,2,1,64.28571428571429,0.0,60.0,-1.0,1.0,0.0,-1.0,0.0,2021,0,0,normal
contract_10_1_9,2020-10-01,1,2020-10-01,0.08333333333333333,unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,60,60.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,60,1,0,0,0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_9,2020-11-01,2,2020-10-01,0.16666666666666666,unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,90,90.0,1,0,0,1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,150,2,0,0,1,0,75.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,2020,0,0,normal
contract_10_1_9,2021-01-01,4,2020-10-01,0.3333333333333333,unknown,1,1,0,0,0,0,0,0,1,0,0,0,0,60,60.0,1,0,0,0,1,3,3,0,0,0,0,2,0,1,0,0,0,0,210,3,0,0,1,1,70.0,0.0,-30.0,0.0,0.0,0.0,-1.0,1.0,2021,0,0,normal
contract_10_1_9,2021-03-01,6,2020-10-01,0.5,unknown,3,2,1,0,1,0,0,0,1,0,1,0,0,60,30.0,2,0,0,2,0,6,5,1,0,1,0,2,0,2,0,1,0,0,270,5,0,0,3,1,60.0,2.0,0.0,1.0,0.0,0.0,2.0,-1.0,2021,0,0,normal
contract_10_1_9,2021-05-01,8,2020-10-01,0.6666666666666666,unknown,2,2,0,0,1,0,0,0,0,1,0,0,0,60,30.0,2,0,0,2,0,8,7,1,0,2,0,2,0,2,1,1,0,0,330,7,0,0,5,1,54.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_9,2021-07-01,10,2020-10-01,0.8333333333333334,unknown,2,1,0,1,1,0,0,1,0,0,0,0,0,30,,0,1,0,0,0,10,8,1,1,3,0,2,1,2,1,1,0,0,360,7,1,0,5,1,54.0,0.0,-30.0,-2.0,1.0,0.0,-2.0,0.0,2021,0,0,normal
